32.223.6.94:80  # status 404 http://httpbin.org/ip
67.43.228.250:16043  # ProxyError HTTPConnectionPool(host='67.43.228.250', port=16043): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838050>, 'Connection to 67.43.228.250 timed out. (connect timeout=8)')))
196.1.93.10:80  # ProxyError HTTPConnectionPool(host='196.1.93.10', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1B50>, 'Connection to 196.1.93.10 timed out. (connect timeout=8)')))
154.57.15.155:8080  # ProxyError HTTPConnectionPool(host='154.57.15.155', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3750>, 'Connection to 154.57.15.155 timed out. (connect timeout=8)')))
103.245.96.161:3214  # ProxyError HTTPConnectionPool(host='103.245.96.161', port=3214): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BE50>, 'Connection to 103.245.96.161 timed out. (connect timeout=8)')))
168.197.42.74:8080  # ProxyError HTTPConnectionPool(host='168.197.42.74', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BC50>, 'Connection to 168.197.42.74 timed out. (connect timeout=8)')))
194.145.200.184:3128  # ProxyError HTTPConnectionPool(host='194.145.200.184', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838D50>, 'Connection to 194.145.200.184 timed out. (connect timeout=8)')))
222.127.241.158:8082  # ProxyError HTTPConnectionPool(host='222.127.241.158', port=8082): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2850>, 'Connection to 222.127.241.158 timed out. (connect timeout=8)')))
103.31.235.197:1111  # ProxyError HTTPConnectionPool(host='103.31.235.197', port=1111): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BA50>, 'Connection to 103.31.235.197 timed out. (connect timeout=8)')))
46.32.21.66:8080  # ProxyError HTTPConnectionPool(host='46.32.21.66', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3550>, 'Connection to 46.32.21.66 timed out. (connect timeout=8)')))
38.191.211.253:999  # ProxyError HTTPConnectionPool(host='38.191.211.253', port=999): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3D50>, 'Connection to 38.191.211.253 timed out. (connect timeout=8)')))
202.77.112.246:8080  # ProxyError HTTPConnectionPool(host='202.77.112.246', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3950>, 'Connection to 202.77.112.246 timed out. (connect timeout=8)')))
181.104.70.198:3128  # ProxyError HTTPConnectionPool(host='181.104.70.198', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3150>, 'Connection to 181.104.70.198 timed out. (connect timeout=8)')))
201.182.242.209:999  # ProxyError HTTPConnectionPool(host='201.182.242.209', port=999): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E0D50>, 'Connection to 201.182.242.209 timed out. (connect timeout=8)')))
217.76.245.24:999  # ProxyError HTTPConnectionPool(host='217.76.245.24', port=999): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E0B50>, 'Connection to 217.76.245.24 timed out. (connect timeout=8)')))
